frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,playbackRate,lastAnimChoice,wireSentThisTick
76,1.266667,0.016667,-8949.718,-126.56565,83.31955,0,0,0,6.9999995,3.0238004,3.0238004,fwd|turnL,true,0,0,5,Run,1.2936002,1.0079999,5->5:Exact,NONE
77,1.283333,0.016667,-8949.834,-126.556496,83.3163,0,0,0,7,3.0630708,3.0630708,fwd|turnL,true,0,0,5,Run,1.3104002,1.008,5->5:Exact,NONE
78,1.300000,0.016667,-8949.95,-126.55192,83.31306,0,0,0,7,3.1023412,3.1023412,fwd|turnL,true,0,0,5,Run,1.3272003,1.008,5->5:Exact,NONE
79,1.316667,0.016667,-8950.066,-126.55192,83.31015,0,0,0,7,3.1416116,3.1416116,fwd|turnL,true,0,0,5,Run,1.3440003,1.008,5->5:Exact,NONE
80,1.333333,0.016667,-8950.183,-126.5565,83.30747,0,0,0,7,3.180882,3.180882,fwd|turnL,true,0,0,5,Run,1.3608004,1.008,5->5:Exact,NONE
81,1.350000,0.016667,-8950.299,-126.56566,83.30475,0,0,0,6.9999995,3.2201524,3.2201524,fwd|turnL,true,0,0,5,Run,1.3776004,1.0079999,5->5:Exact,NONE
82,1.366667,0.016667,-8950.415,-126.57938,83.301994,0,0,0,7.0000005,3.2594228,3.2594228,fwd|turnL,true,0,0,5,Run,1.3944005,1.008,5->5:Exact,NONE
83,1.383333,0.016667,-8950.53,-126.597626,83.29918,0,0,0,7,3.2986932,3.2986932,fwd|turnL,true,0,0,5,Run,1.4112005,1.008,5->5:Exact,NONE
84,1.400000,0.016667,-8950.645,-126.62039,83.296326,0,0,0,7.0000005,3.3379636,3.3379636,fwd|turnL,true,0,0,5,Run,1.4280006,1.008,5->5:Exact,NONE
85,1.416667,0.016667,-8950.758,-126.64763,83.29339,0,0,0,7,3.377234,3.377234,fwd|turnL,true,0,0,5,Run,1.4448006,1.008,5->5:Exact,NONE
86,1.433333,0.016667,-8950.87,-126.6793,83.29038,0,0,0,7.0000005,3.4165044,3.4165044,fwd|turnL,true,0,0,5,Run,1.4616007,1.008,5->5:Exact,NONE
87,1.450000,0.016667,-8950.981,-126.715355,83.2873,0,0,0,7,3.4557748,3.4557748,fwd|turnL,true,0,0,5,Run,1.4784007,1.008,5->5:Exact,NONE
88,1.466667,0.016667,-8951.091,-126.75574,83.28415,0,0,0,6.9999995,3.4950452,3.4950452,fwd|turnL,true,0,0,5,Run,1.4952008,1.0079999,5->5:Exact,NONE
