"expected_animation_id","spell_id","name","rank","cell","actual_stage","requested_animation_id","played_animation_id","resolution","asset_sources","evidence_directory"
"54","1461","Arcane Intellect","Rank 3","MOVING","SETTLE","54","54","Exact","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-020-039-final"
"54","2120","Flamestrike","Rank 1","MOVING","SETTLE","54","54","Exact","patch.MPQ:Spells\Fire_Cast_Hand.m2|patch.MPQ:Spells\Fire_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-020-039-final"
"54","2120","Flamestrike","Rank 1","STANDING","SETTLE","54","54","Exact","patch.MPQ:Spells\Fire_Cast_Hand.m2|patch.MPQ:Spells\Fire_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-020-039-v3"
"54","2121","Flamestrike","Rank 2","MOVING","SETTLE","54","54","Exact","patch.MPQ:Spells\Fire_Cast_Hand.m2|patch.MPQ:Spells\Fire_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-020-039-final"
"54","2121","Flamestrike","Rank 2","STANDING","SETTLE","54","54","Exact","patch.MPQ:Spells\Fire_Cast_Hand.m2|patch.MPQ:Spells\Fire_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-020-039-v3"
"54","8422","Flamestrike","Rank 3","MOVING","SETTLE","-1","-1","Missing","patch.MPQ:Spells\Fire_Cast_Hand.m2|patch.MPQ:Spells\Fire_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-080-099-final"
"54","8422","Flamestrike","Rank 3","STANDING","SETTLE","-1","-1","Missing","patch.MPQ:Spells\Fire_Cast_Hand.m2|patch.MPQ:Spells\Fire_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-080-099-v2"
"54","8423","Flamestrike","Rank 4","MOVING","SETTLE","-1","-1","Missing","patch.MPQ:Spells\Fire_Cast_Hand.m2|patch.MPQ:Spells\Fire_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-080-099-final"
"54","8423","Flamestrike","Rank 4","STANDING","SETTLE","-1","-1","Missing","patch.MPQ:Spells\Fire_Cast_Hand.m2|patch.MPQ:Spells\Fire_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-080-099-v2"
"54","10157","Arcane Intellect","Rank 5","MOVING","SETTLE","54","54","BakedOnDemand","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-100-119-final"
"54","10157","Arcane Intellect","Rank 5","STANDING","SETTLE","54","54","BakedOnDemand","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-100-119-v3"
"54","10215","Flamestrike","Rank 5","MOVING","SETTLE","54","54","Exact","patch.MPQ:Spells\Fire_Cast_Hand.m2|patch.MPQ:Spells\Fire_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-120-139-final"
"54","10216","Flamestrike","Rank 6","MOVING","SETTLE","-1","-1","Missing","patch.MPQ:Spells\Fire_Cast_Hand.m2|patch.MPQ:Spells\Fire_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-140-159-final"
"54","10216","Flamestrike","Rank 6","STANDING","SETTLE","-1","-1","Missing","patch.MPQ:Spells\Fire_Cast_Hand.m2|patch.MPQ:Spells\Fire_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-140-159-v3"
"54","23028","Arcane Brilliance","Rank 1","MOVING","SETTLE","54","54","Exact","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-160-173-final"
"54","23028","Arcane Brilliance","Rank 1","STANDING","SETTLE","54","54","Exact","patch.MPQ:Spells\Magic_Cast_Hand.m2|patch.MPQ:Spells\Magic_Cast_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-160-173-v2"
"124","11419","Portal: Darnassus","","STANDING","SETTLE","124","124","BakedOnDemand","patch.MPQ:Spells\RitualSummoning_PreCast_Base.m2|patch.MPQ:Spells\Shadow_Precast_Low_Hand.m2|patch.MPQ:Spells\Shadow_Precast_Low_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-140-159-v3"
"125","10","Blizzard","Rank 1","MOVING","SETTLE","-1","-1","Missing","patch.MPQ:Spells\Ice_Precast_Med_Hand.m2|patch.MPQ:Spells\Ice_Precast_Med_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-000-019-final"
"125","10","Blizzard","Rank 1","STANDING","SETTLE","-1","-1","Missing","patch.MPQ:Spells\Ice_Precast_Med_Hand.m2|patch.MPQ:Spells\Ice_Precast_Med_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-000-019-v2"
"125","8427","Blizzard","Rank 3","MOVING","SETTLE","-1","-1","Missing","patch.MPQ:Spells\Ice_Precast_Med_Hand.m2|patch.MPQ:Spells\Ice_Precast_Med_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-080-099-final"
"125","8427","Blizzard","Rank 3","STANDING","SETTLE","-1","-1","Missing","patch.MPQ:Spells\Ice_Precast_Med_Hand.m2|patch.MPQ:Spells\Ice_Precast_Med_Hand.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-080-099-v2"
