key,kind,displayId,modelPath,outcome,cameraSource,authoredRetried,subjectPx,rgbLo,rgbHi,alphaLo,alphaHi,meanLuma,pieces,bindPoseHeight,eyeHeight,distance,fovyDeg,nearPlane,elapsedMs,note
creature:5535,creature,5535,Character\Orc\Male\OrcMale.m2,Ready,Authored,false,53461,0,255,255,255,107.7459,-1,2.5426,0,0,27.7333,0.2222,74.3819,
creature:5545,creature,5545,Character\Human\Female\HumanFemale.m2,Ready,Authored,false,45595,0,255,255,255,117.4248,-1,1.9362,0,0,27,0.2222,78.429,
creature:5546,creature,5546,Character\Human\Female\HumanFemale.m2,Ready,Authored,false,42861,0,255,255,255,124.8364,-1,1.9362,0,0,27,0.2222,81.0509,
creature:5547,creature,5547,Character\Human\Male\HumanMale.m2,Ready,Authored,false,36988,1,255,255,255,121.3699,-1,2.0352,0,0,27,0.2222,76.4471,
creature:5548,creature,5548,Character\Human\Male\HumanMale.m2,Ready,Authored,false,32312,0,255,255,255,153.8301,-1,2.0352,0,0,27,0.2222,73.4898,
creature:5549,creature,5549,Character\Human\Male\HumanMale.m2,Ready,Authored,false,41258,0,255,255,255,107.4937,-1,2.0352,0,0,27,0.2222,74.5876,
creature:5550,creature,5550,Character\Human\Male\HumanMale.m2,Ready,Authored,false,42469,0,255,255,255,108.1606,-1,2.0352,0,0,27,0.2222,80.1087,
creature:5551,creature,5551,Character\Human\Male\HumanMale.m2,Ready,Authored,false,39908,0,255,255,255,140.6362,-1,2.0352,0,0,27,0.2222,89.515,
creature:5552,creature,5552,Character\Human\Female\HumanFemale.m2,Ready,Authored,false,45467,0,255,255,255,57.5584,-1,1.9362,0,0,27,0.2222,74.3779,
creature:5553,creature,5553,Character\Human\Male\HumanMale.m2,Ready,Authored,false,43832,1,255,255,255,106.7166,-1,2.0352,0,0,27,0.2222,73.2164,
creature:5554,creature,5554,Creature\Cat\Cat.m2,Ready,Authored,false,39665,0,255,127,255,96.2361,-1,0.7709,0,0,32.6593,0.2222,61.8689,
creature:5555,creature,5555,Creature\Cat\Cat.m2,Ready,Authored,false,39010,0,255,127,255,102.0623,-1,0.7709,0,0,32.6593,0.2222,63.2039,
creature:5556,creature,5556,Creature\Cat\Cat.m2,Ready,Authored,false,31227,0,255,127,255,37.244,-1,0.7709,0,0,32.6593,0.2222,62.6327,
creature:5557,creature,5557,Creature\Crab\Crab.m2,Ready,Authored,false,41102,0,255,92,255,94.9648,-1,0.9723,0,0,31.4461,0.2222,59.5379,
creature:5558,creature,5558,Creature\Crab\Crab.m2,Ready,Authored,false,41120,0,255,92,255,109.1125,-1,0.9723,0,0,31.4461,0.2222,55.4522,
creature:5559,creature,5559,Creature\Crab\Crab.m2,Ready,Authored,false,40842,0,255,92,255,76.7966,-1,0.9723,0,0,31.4461,0.2222,62.1875,
creature:5560,creature,5560,Creature\Crab\Crab.m2,Ready,Authored,false,40943,0,255,92,255,81.7942,-1,0.9723,0,0,31.4461,0.2222,59.7057,
creature:5561,creature,5561,Creature\WaterElemental\WaterElemental.m2,Ready,Authored,false,54882,0,255,127,255,108.0733,-1,2.5345,0,0,32.6593,0.2222,55.8364,
creature:5562,creature,5562,Creature\WaterElemental\WaterElemental.m2,Ready,Authored,false,54882,0,255,127,255,108.0733,-1,2.5345,0,0,32.6593,0.2222,59.5462,
creature:5563,creature,5563,Creature\ElementalPoison\PoisonElemental.m2,Ready,Authored,false,54208,0,255,127,255,106.4386,-1,2.5345,0,0,30.7646,0.2222,61.172,
creature:5564,creature,5564,Creature\WaterElemental\WaterElemental.m2,Ready,Authored,false,54882,0,255,127,255,108.0733,-1,2.5345,0,0,32.6593,0.2222,55.398,
creature:5565,creature,5565,Character\Human\Female\HumanFemale.m2,Ready,Authored,false,46052,2,255,255,255,103.588,-1,1.9362,0,0,27,0.2222,81.708,
creature:5566,creature,5566,Character\Human\Male\HumanMale.m2,Ready,Authored,false,45835,0,255,255,255,111.4356,-1,2.0352,0,0,27,0.2222,73.8084,
creature:5567,creature,5567,Character\Human\Male\HumanMale.m2,Ready,Authored,false,36505,0,255,255,255,79.4019,-1,2.0352,0,0,27,0.2222,74.3365,
creature:5568,creature,5568,Character\Human\Male\HumanMale.m2,Ready,Authored,false,44981,0,255,255,255,71.0436,-1,2.0352,0,0,27,0.2222,73.0339,
creature:5569,creature,5569,Character\Human\Female\HumanFemale.m2,Ready,Authored,false,48715,0,255,255,255,35.5299,-1,1.9362,0,0,27,0.2222,80.5244,
creature:5570,creature,5570,Character\Dwarf\Male\DwarfMale.m2,Ready,Authored,false,50406,0,255,255,255,111.4213,-1,1.6754,0,0,27,0.2222,68.9072,
creature:5571,creature,5571,Character\Human\Male\HumanMale.m2,Ready,Authored,false,44002,0,255,255,255,69.3885,-1,2.0352,0,0,27,0.2222,72.9789,
creature:5572,creature,5572,Character\Human\Female\HumanFemale.m2,Ready,Authored,false,39281,0,255,255,255,73.9041,-1,1.9362,0,0,27,0.2222,78.6573,
creature:5573,creature,5573,Character\Human\Male\HumanMale.m2,Ready,Authored,false,36967,0,255,255,255,96.5254,-1,2.0352,0,0,27,0.2222,77.7956,
creature:5574,creature,5574,Character\Human\Female\HumanFemale.m2,Ready,Authored,false,37328,0,255,255,255,104.6638,-1,1.9362,0,0,27,0.2222,77.1771,
creature:5575,creature,5575,Character\Dwarf\Male\DwarfMale.m2,Ready,Authored,false,45560,0,255,255,255,110.4834,-1,1.6754,0,0,27,0.2222,73.7204,
creature:5576,creature,5576,Character\Scourge\Male\ScourgeMale.m2,Ready,Authored,false,47430,0,255,191,255,57.8839,-1,2.3614,0,0,27,0.2222,78.697,
creature:5577,creature,5577,Character\Troll\Male\TrollMale.m2,Ready,Authored,false,45628,0,255,255,255,86.8414,-1,3.1916,0,0,27.4872,0.2222,84.1842,
creature:5585,creature,5585,Creature\Cat\Cat.m2,Ready,Authored,false,32478,0,255,127,255,55.4333,-1,0.7709,0,0,32.6593,0.2222,62.6809,
creature:5586,creature,5586,Creature\Cat\Cat.m2,Ready,Authored,false,39668,0,255,127,255,109.2652,-1,0.7709,0,0,32.6593,0.2222,56.5275,
creature:5605,creature,5605,Character\Troll\Male\TrollMale.m2,Ready,Authored,false,39749,0,255,255,255,149.5348,-1,3.1916,0,0,27.4872,0.2222,80.7595,
creature:5606,creature,5606,Character\Troll\Male\TrollMale.m2,Ready,Authored,false,39616,0,255,255,255,134.1386,-1,3.1916,0,0,27.4872,0.2222,3367.5718,
creature:5607,creature,5607,Character\Troll\Male\TrollMale.m2,Ready,Authored,false,47809,0,255,255,255,139.8901,-1,3.1916,0,0,27.4872,0.2222,74.0494,
creature:5608,creature,5608,Character\Troll\Male\TrollMale.m2,Ready,Authored,false,52263,0,255,255,255,152.2311,-1,3.1916,0,0,27.4872,0.2222,76.6809,
creature:5609,creature,5609,Character\Troll\Male\TrollMale.m2,Ready,Authored,false,47864,0,255,255,255,128.7152,-1,3.1916,0,0,27.4872,0.2222,74.5877,
creature:5610,creature,5610,Character\Troll\Male\TrollMale.m2,Ready,Authored,false,47105,0,255,255,255,129.7715,-1,3.1916,0,0,27.4872,0.2222,82.9039,
