name	security	runnable	has_subcommands
reload gameobject_battleground	SEC_DEVELOPER	1	0
reload gameobject_involvedrelation	SEC_DEVELOPER	1	0
reload gameobject_loot_template	SEC_DEVELOPER	1	0
reload gameobject_questrelation	SEC_DEVELOPER	1	0
reload gameobject_requirement	SEC_DEVELOPER	1	0
reload gameobject_scripts	SEC_DEVELOPER	1	0
reload gameobject_template	SEC_DEVELOPER	1	0
reload generic_scripts	SEC_DEVELOPER	1	0
reload gossip_menu	SEC_DEVELOPER	1	0
reload gossip_menu_option	SEC_DEVELOPER	1	0
reload gossip_scripts	SEC_DEVELOPER	1	0
reload instance_buff_removal	SEC_DEVELOPER	1	0
reload ip_banned	SEC_ADMINISTRATOR	1	0
reload item_enchantment_template	SEC_DEVELOPER	1	0
reload item_loot_template	SEC_DEVELOPER	1	0
reload item_required_target	SEC_DEVELOPER	1	0
reload item_template	SEC_DEVELOPER	1	0
reload locales_creature	SEC_DEVELOPER	1	0
reload locales_gameobject	SEC_DEVELOPER	1	0
reload locales_gossip_menu_option	SEC_DEVELOPER	1	0
reload locales_item	SEC_DEVELOPER	1	0
reload locales_page_text	SEC_DEVELOPER	1	0
reload locales_points_of_interest	SEC_DEVELOPER	1	0
reload locales_quest	SEC_DEVELOPER	1	0
reload mail_loot_template	SEC_DEVELOPER	1	0
reload mangos_string	SEC_DEVELOPER	1	0
reload map_loot_disabled	SEC_DEVELOPER	1	0
reload map_template	SEC_DEVELOPER	1	0
reload npc_gossip	SEC_DEVELOPER	1	0
reload npc_text	SEC_DEVELOPER	1	0
reload npc_trainer	SEC_DEVELOPER	1	0
reload npc_vendor	SEC_DEVELOPER	1	0
reload page_text	SEC_DEVELOPER	1	0
reload pet_name_generation	SEC_DEVELOPER	1	0
reload petitions	SEC_ADMINISTRATOR	1	0
reload pickpocketing_loot_template	SEC_DEVELOPER	1	0
reload player_factionchange_items	SEC_DEVELOPER	1	0
reload player_factionchange_mounts	SEC_DEVELOPER	1	0
